EAR,MAR,Label
0.2789811808390011,0.434576635127944,1
0.2501245569474737,0.41794976919256066,1
0.24403912489336582,0.41501019701887115,1
0.2271184744474532,0.426842984404793,1
0.23530522663859857,0.4238889278777958,1
0.24163220200815017,0.4035245424232576,1
0.22513277008477822,0.39553150072423204,1
0.24220932652436655,0.41380321132133124,1
0.23776793347152117,0.40299126587108575,1
0.22909354487892108,0.40533794051898775,1
0.23778589073444895,0.4139788839411815,1
0.22473906930810533,0.3967265703438341,1
0.23775500419497603,0.41803436019224305,1
0.2360031434472887,0.41394957472004756,1
0.24603844953138432,0.4311512370483318,1
0.23392089359376883,0.41041387877304675,1
0.24227865479586053,0.41384201743373317,1
0.24394819319025027,0.40596266661899166,1
0.24204132872166018,0.4124306442916475,1
0.24607956822366558,0.41148156762862576,1
0.26067944043342195,0.4098623099461403,1
0.23566608800560768,0.40595476617699355,1
0.2443244788315383,0.41607592537225385,1
0.22522278375686575,0.4031953716817973,1
0.23388570090763883,0.43421108549611287,1
0.22937877924469643,0.4084291804128762,1
0.21631243038257672,0.424124476176512,1
0.18381219147520783,0.42695179705961794,1
0.17617179674877875,0.453203453639646,1
0.17690277279833994,0.4592663686482004,1
0.16381074477178362,0.4754741778044018,1
0.16051778132622196,0.4800203283334737,1
0.16391227681130027,0.5322816189146001,1
0.17091838904850204,0.6012729812288645,1
0.1815177675145419,0.6581332652520495,1
0.16519688858566867,0.7011434672942642,1
0.1938743665648391,0.7407769036869412,1
0.19345047238121724,0.786146424418388,1
0.1921964988038073,0.8096319159622984,1
0.17789639949907016,0.8370687520940197,1
0.1428970787599217,0.8132502933768342,1
0.1586252464811659,0.8854580114858729,1
0.16954607716735823,0.9086975382471679,1
0.17781765300366453,0.9616426489794287,1
0.20512366065514398,0.7593914007964457,1
0.22713110349699134,0.7366013883421837,1
0.21923518837891656,0.7271252489033396,1
0.21895429970773883,0.7466835243992803,1
0.16106999616470266,0.764723265336525,1
0.1891729609742564,0.8399879224265918,1
0.1850114928955987,0.821717394861814,1
0.1946731681626972,0.8309438792375403,1
0.2057917739210807,0.8341585987045256,1
0.20431973705346218,0.8374083209964297,1
0.2079621532726627,0.8541688519212343,1
0.20196583424657918,0.8310048284004217,1
0.2065318540252471,0.8696750212369192,1
0.21730366405193974,0.8231627412651047,1
0.20865214869392906,0.8537072723188807,1
0.20095104128052016,0.8429424226047567,1
0.21669931046058702,0.8324825273076385,1
0.21016827559269813,0.8713087589265851,1
0.2334467018281222,0.8822642525144767,1
0.21033962451845012,0.912393200539109,1
0.2111030976367042,0.9584216468749969,1
0.20031138945510124,0.9168609498074964,1
0.2003890319048659,0.9753788525241857,1
0.19981606228542814,0.9693784050202023,1
0.18470384322073122,1.0021733369331023,1
0.1777948539085208,0.9649797342032734,1
0.15615679007066663,0.9826261686063228,1
0.16290400300456737,1.0092026838332964,1
0.14212345240100352,0.9654286825246706,1
0.1491827523674622,0.9350735037932077,1
0.1438685488530697,0.9656850836902344,1
0.13620818319015415,0.9473227356996233,1
0.16480895095787057,0.987917840342115,1
0.1370210071167352,0.9175129488014325,1
0.13527122366539585,0.8572006301896624,1
0.16486281497391886,0.8423657745834073,1
0.16672453003350138,0.876176677491483,1
0.15438548879467875,0.8592245893713137,1
0.15797675923904314,0.9092482935230699,1
0.14141431193455245,0.9533194223051695,1
0.1714633053342784,0.9080154617440344,1
